"Name","DisplayName","Alias","PrimarySmtpAddress"
"Calgary Conference Rooms","Calgary Conference Rooms","CalgaryConferenceRooms","CalgaryConferenceRooms@Accruent.com"
"siterra-severity","Siterra-Severity","siterra-severity","siterra-severity@Accruent.com"
"[SUP] VFA Severity","[SUP] VFA Severity","VFASeverity","VFASeverity@Accruent.com"
"VFAopsreporting","VFAopsreporting","VFAopsreporting","VFAopsreporting@accruent.com"
"Atlas BI PreSeverity","Atlas BI PreSeverity","AtlasBIPreSeverity","AtlasBIPreSeverity@Accruent.com"
"ATCM RCA-Team","ATCM RCA-Team","atcmrcateam","atcmrcateam@Accruent.com"
"VFA Sales Leads","VFA Sales Leads","vfasalesleads","vfasalesleads@Accruent.com"
"Sales & Marketing Mgmt","Sales & Marketing Mgmt","SalesMarketingMgmt","SalesMarketingMgmt@Accruent.com"
"hostingsysadminteam","Hosting SysAdmin Team","hostingsysadminteam","hostingsysadminteam@Accruent.com"
"Atlas FM PreSeverity","Atlas FM PreSeverity","AtlasFMPreSeverity","AtlasFMPreSeverity@Accruent.com"
"Consultant Design Committee","Consultant Design Committee","cdc","cdc@Accruent.com"
"Famis Hosting OnCall","Famis Hosting OnCall","famishostingoncall","famishostingoncall@Accruent.com"
"VFA Hosting","VFA Hosting","vfahosting","vfahosting@Accruent.com"
"Support Mgmt","Support Mgmt","SupportMgmt","SupportMgmt@Accruent.com"
"All at PCI","All at PCI Contractors","AllatPCI","AllatPCI@Accruent.com"
"Siterra Dev Team","Siterra Dev Team","SiterraDevTeam","SiterraDevTeam@Accruent.com"
"Siterra Tier2 Mgmt","Siterra Tier2 Mgmt","siterratier2mgmt","siterratier2mgmt@Accruent.com"
"Siterra Management","Siterra Management","siterramanagement","siterramanagement@Accruent.com"
"Siterra PS Team","Siterra PS Team","SiterraPSTeam","SiterraPSTeam@Accruent.com"
"0714NHO","0714NHO","0714NHO","0714NHO@Accruent.com"
"Test Distro","Test Distro","testdistro","testdistro@Accruent.com"
"LicenseManager","LicenseManager","LicenseManager","LicenseManager@Accruent.com"
"Siterra Sales","Siterra Sales","siterrasales","siterrasales@Accruent.com"
"Hosted","Hosted","Hosted","Hosted@accruent.com"
"[ALL] VFA","All at VFA","AllatVFA","AllatVFA@Accruent.com"
"Atlas Prod Notification","Atlas Prod Notification","atlasprodnotification","atlasprodnotification@Accruent.com"
"FAMIS Hosted Severity","FAMIS Hosted Severity","famishostedseverity","famishostedseverity@Accruent.com"
"Renewals Distro","Renewals Distro","renewalsdistro","renewalsdistro@Accruent.com"
"[SUP] DemoAppv82","[SUP] DemoAppv82","demoappv82","demoappv82@Accruent.com"
"Atlas SQL Admins","Atlas SQL Admins","AtlasSQLAdmins","AtlasSQLAdmins@Accruent.com"
"Gomez Alerts","Gomez Alerts","GomezAlerts","gomezalerts@accruent.com"
"Engineering Dev Team","Engineering Dev Team","EngineeringDevTeam","EngineeringDevTeam@Accruent.com"
"All of Marketing","All of Marketing","allofmarketing","allofmarketing@Accruent.com"
"dev.builderrors","dev.builderrors","dev.builderrors","dev.builderrors@accruent.com"
"All Remote Employees","All Remote Employees","AllRemote","AllRemote@Accruent.com"
"SiteFM Support Team","SiteFM Support Team","sitefmsupportteam","sitefmsupportteam@Accruent.com"
"Wal-Mart Obs Log Reports","Wal-Mart Obs Log Reports","obs_log_report","obs_log_report@Accruent.com"
"Lower Level","Lower Level","LowerLevel","LowerLevel@accruent.com"
"Atlas PM PreSeverity","Atlas PM PreSeverity","AtlasPMPreSeverity","AtlasPMPreSeverity@Accruent.com"
"SiteFM Hosting OnCall","SiteFM Hosting OnCall","sitefmhostingoncall","sitefmhostingoncall@Accruent.com"
"SiteFMSeverity","SiteFM Severity","sitefmseverity","sitefmseverity@Accruent.com"
"Hosting Ticket","Hosting Ticket","hostingticket","hostingticket@Accruent.com"
"Siterra Hosting OnCall","Siterra Hosting OnCall","SiterraHostingOnCall","SiterraHostingOnCall@Accruent.com"
"Recruiting Team Use","Recruiting Team Use","RecruitingTeamUse","RecruitingTeamUse@Accruent.com"
"Atlas Data Warehouse","Atlas Data Warehouse","atlasdatawarehouse","atlasdatawarehouse@Accruent.com"
"DB Maint Notify","DB Maint Notify","DBMaintNotify","DBMaintNotify@Accruent.com"
"Linuxsme","Linuxsme","linuxsme","linuxsme@Accruent.com"
"Healthcare Lead List","Healthcare Lead List","HealthcareLeadList","HealthcareLeadList@Accruent.com"
"DHCP Notifications","DHCP Notifications","dhcpnotifications","dhcpnotifications@Accruent.com"
"Migration","Migration","Migration","migration@accruent.com"
"Atlas SM PreSeverity","Atlas SM PreSeverity","AtlasSMPreSeverity","AtlasSMPreSeverity@Accruent.com"
"Four Rivers NetMon Tier2","Four Rivers NetMon Tier2","fourriversnetmontier2","fourriversnetmontier2@accruent.com"
"Operations","Operations","Operations","Operations@Accruent.com"
"Atlas Product Team","Atlas Product Team","atlasproductteam","atlasproductteam@Accruent.com"
"All at Calgary Office","All at Calgary Office","AllAtCalgaryOffice","AllAtCalgaryOffice@Accruent.com"
"Evoco Dev Team","Evoco Dev Team","evocodevteam","evocodevteam@Accruent.com"
"Expesite Dev Team","Expesite Dev Team","expesitedevteam","expesitedevteam@Accruent.com"
"TMS Dev Team","TMS Dev Team","TMSDevTeam","TMSDevTeam@Accruent.com"
"[ALL] Mainspring Contractors","[ALL] Mainspring Contractors","MainspringContractors","MainspringContractors@Accruent.com"
"[ALL] VFA US Contractors","All at VFA US Contractors","AllatVFAUSContractors","AllatVFAUSContractors@Accruent.com"
"[ALL] VFA FTE Remote","VFA FTE Remote","VFAFTERemote","VFAFTERemote@accruent.com"
"[ALL] VFA FTE Boston","[ALL] VFA FTE Boston","ALL_VFAFTEBoston","vfafteboston@accruent.com"
"SiteFM Hosting","SiteFM Hosting","SiteFMHosting","SiteFMHosting@Accruent.com"
"ATCM Change Sponsors","ATCM Change Sponsors","ATCMChangeSponsors","ATCMChangeSponsors@Accruent.com"
"Healthcare Support Team","Healthcare Support Team","healthcaresupportteam","healthcaresupportteam@Accruent.com"
"All at US Remote","All at US Remote","allatusremote","allatusremote@Accruent.com"
"[PM] Product Management Practice","[PM] Product Management Practice","pmproductmanagementpractice","pmproductmanagementpractice@Accruent.com"
"[PM] Leadership Team","[PM] Leadership Team","pmleadershipteam","pmleadershipteam@Accruent.com"
"[PM] Tech Writing Practice","[PM] Tech Writing Practice","pmtechwritingpractice","pmtechwritingpractice@Accruent.com"
"[PM] UX Practice","[PM] UX Practice","pmuxpractice","pmuxpractice@Accruent.com"
"VFAProjectDirectors","VFAProjectDirectors","VFAProjectDirectors","VFAProjectDirectors@accruent.com"
"Retail Leadership Team","Retail Leadership Team","retailleadershipteam","retailleadershipteam@Accruent.com"
"Engineering Dev Mgmt","Engineering Dev Mgmt","EngDevMgmt","EngDevMgmt@Accruent.com"
"Engineering Team","Engineering Team","EngineeringTeam","EngineeringTeam@Accruent.com"
"entologybuilds","entologybuilds","entologybuilds","entologybuilds@accruent.com"
"Crocodile Dev Team","Crocodile Dev Team","crocodiledevteam","crocodiledevteam@Accruent.com"
"Evoco Hosting OnCall","Evoco Hosting OnCall","evocohostingoncall","evocohostingoncall@Accruent.com"
"hostingdbateam","Hosting DBA Team","hostingdbateam","hostingdbateam@Accruent.com"
"Exec At Risk Escalation Report","Exec At Risk Escalation Report","execatriskescalationreport","execatriskescalationreport@Accruent.com"
"Core Datawarehouse","Core Datawarehouse","coredatawarehouse","coredatawarehouse@Accruent.com"
"RVP/AM At Risk Escalation Report","RVP/AM At Risk Escalation Report","rvpamatriskescalationreport","rvpamatriskescalationreport@Accruent.com"
"Crocodile","Crocodile","Crocodile","crocodile@Accruent.com"
"Consulting Services","Consulting Services","ConsultingServices","ConsultingServices@accruent.com"
"Mighty Ducks","Mighty Ducks","MightyDucks","MightyDucks@Accruent.com"
"[ENG] Retail QA","[ENG] Retail QA","RetailQA","RetailQA@Accruent.com"
"Atlas Engineering Team","Atlas Engineering Team","atlasengineeringteam","atlasengineeringteam@Accruent.com"
"BI Implementation Team","BI Implementation Team","BIImplementationTeam","BIImplementationTeam@accruent.com"
"Atlas Leadership","Atlas Leadership","atlasleadership","atlasleadership@Accruent.com"
"Atlas PS","Atlas PS","AtlasPS","AtlasPS@Accruent.com"
"Atlas QA Team","Atlas QA Team","AtlasQATeam","AtlasQATeam@Accruent.com"
"AM Dashboard","AM Dashboard","amdashboard","amdashboard@Accruent.com"
"NJ Software Project","NJ Software Project","NJSoftwareProject","NJSoftwareProject@accruent.com"
"Sharepoint Sales Support","Sharepoint Sales Support","SharepointSalesSupport","SharepointSalesSupport@accruent.com"
"All at Columbus","All at Columbus","allatcolumbus","allatcolumbus@Accruent.com"
"Retail AM Team","Retail AM Team","retailamteam","retailamteam@Accruent.com"
"Four Rivers Hosting OnCall","Four Rivers Hosting OnCall","fourrivershostingoncall","fourrivershostingoncall@Accruent.com"
"Leadership Approved Emailers","Leadership Approved Emailers","leadershipatappe","leadershipatappe@Accruent.com"
"Four Rivers Hosting","Four Rivers Hosting","fourrivershosting","fourrivershosting@accruent.com"
"VFA Hosting OnCall","VFA Hosting OnCall","vfahostingoncall","vfahostingoncall@Accruent.com"
"Siterra ES Team","Siterra ES Team","SiterraESTeam","SiterraESTeam@Accruent.com"
"CanadaSales","CanadaSales","CanadaSales","canadasales@accruent.com"
"Four Rivers Severity","Four Rivers Severity","fourriversseverity","fourriversseverity@Accruent.com"
"Four Rivers eLearning","Four Rivers eLearning","fourriverselearning","fourriverselearning@Accruent.com"
"Incident Notify","Incident Notify","IncidentNotify","IncidentNotify@Accruent.com"
"Verizon-Siterra Team","Verizon-Siterra Team","VerizonSiterraTeam","VerizonSiterraTeam@Accruent.com"
"FWLB","FWLB","FWLB","FWLB@accruent.com"
"LA Cloud Eng Team","LA Cloud Eng Team","lacloudengteam","lacloudengteam@Accruent.com"
"Evoco Services","Evoco Services","EvocoServices","EvocoServices@Accruent.com"
"VFASWAT","VFASWAT","VFASWAT","VFASWAT@accruent.com"
"[EXEC] Chief Team","[EXEC] Chief Team","cteam","cteam@Accruent.com"
"Walmart Wellness","Walmart Wellness","wmwellness","wmwellness@Accruent.com"
"Siterra DEFCON","Siterra DEFCON","siterradefcon","siterradefcon@Accruent.com"
"NBDTI-INTERNAL@accruent.com","NBDTI-INTERNAL","NBDTI-INTERNAL","NBDTI-INTERNAL@accruent.com"
"Ontario K-12 Proposal Team","Ontario K-12 Proposal Team","OntarioK-12ProposalTeam","OntarioK-12ProposalTeam@accruent.com"
"TCPS_Dev","TCPS_Dev","TCPS_Dev","TCPS_Dev@accruent.com"
"NJ Builderrors","NJ Builderrors","NJBuilderrors","NJBuilderrors@accruent.com"
"Wireless Lead Team","Telecom Lead Team","TelecomLeadTeam","TelecomLeadTeam@Accruent.com"
"Document Rendering Team","Document Rendering Team","DocRenderingTeam","DocRenderingTeam@Accruent.com"
"Scrum Accruent Suite Pork Chops","GROUP|Scrum Accruent Suite","GROUP-scrumaccruentsuite","GROUP-scrumaccruentsuite@Accruent.com"
"MarketingCorpTeam","MarketingCorpTeam","MarketingCorpTeam","MarketingCorpTeam@Accruent.com"
"Atlas Reporting Storage Usage","Atlas Reporting Storage Usage","atlasreportingstorageusage","atlasreportingstorageusage@Accruent.com"
"Accruent QA Dept","Accruent QA Dept","AccruentQADept","AccruentQADept@Accruent.com"
"WAMU","WAMU","WAMU","WAMU@accruent.com"
"Atlas Project Managers","Atlas Project Managers","atlasprojectmanagers","atlasprojectmanagers@Accruent.com"
"Learning & Development DL","Learning & Development DL","learningdevelopmentdl","learningdevelopmentdl@Accruent.com"
"POD | Siterra ADJN","POD | Siterra VZW","POD_SiterraVZW","POD_SiterraVZW@Accruent.com"
"Exterminator Pod","POD|360Facility Maintenance","360FacilityMaintenance","360FacilityMaintenance@Accruent.com"
"Expesite Services","Expesite Services","expesiteservices","expesiteservices@Accruent.com"
"Siterra-DBStats","Siterra-DBStats","Siterra-DBStats","Siterra-DBStats@Accruent.com"
"Healthcare Engineering","Healthcare Engineering","Healthcareeng","Healthcareeng@Accruent.com"
"Account Management","Account Management","accountmanagement","accountmanagement@Accruent.com"
"SoftwareandConsultingServices","SoftwareandConsultingServices","SoftwareandConsultingServices","SoftwareandConsultingServices2@Accruent.com"
"cvs dev","cvs dev","cvsdev","cvsdev@Accruent.com"
"New Hire-Termination","New Hire-Termination","NewHire-Term","NewHire-Term@Accruent.com"
"POD | Siterra ATC","POD | Siterra ATC","POD_SiterraATC","POD_SiterraATC@Accruent.com"
"Professional Services FTE Remote","Professional Services FTE Remote","ProfessionalServicesFTERemote","ProfessionalServicesFTERemote@accruent.com"
"Evoco Severity 2","Evoco Severity 2","EvocoSeverity2","EvocoSeverity2@Accruent.com"
"360Severity","360Severity","360Severity","360Severity@Accruent.com"
"PS Staging Team","PS Staging Team","PSStagingTeam","PSStagingTeam@Accruent.com"
"Famis Product","Famis Product","FamisProduct","FamisProduct@Accruent.com"
"[ALL] Citori Integration Team","[ALL] Citori Integration Team","CitoriIntegrationTeam","CitoriIntegrationTeam@Accruent.com"
"Evoco Severity 1","Evoco Severity 1","EvocoSeverity1","EvocoSeverity1@Accruent.com"
"360Product","360Product","360Product","360Product@Accruent.com"
"VFALeadershipTeam","VFALeadershipTeam","VFALeadershipTeam","VFALeadershipTeam@accruent.com"
"Postings","Postings","Postings","Postings@accruent.com"
"VFAProjectManagers","VFA Project Managers","VFAProjectManagers","VFAProjectManagers@accruent.com"
"WHS","WHS","WHS","WHS@accruent.com"
"POD | Siterra MLA","POD | Siterra MLA","POD_SiterraMLA","POD_SiterraMLA@Accruent.com"
"Daily Build","Daily Build","DailyBuild","DailyBuild@Accruent.com"
"ATCM Board Members","ATCM Board Members","ATCMBoardMembers","ATCMBoardMembers@Accruent.com"
"POD | Siterra Maintenance","POD | Siterra Maintenance","PODSiterraMaintenance","PODSiterraMaintenance@Accruent.com"
"Engineering QA Team","Engineering QA Team","EngineeringQATeam","EngineeringQATeam@Accruent.com"
"VFAFacility CVS users","VFAFacility CVS users","VFAFacilityCVSusers","VFAFacilityCVSusers@accruent.com"
"[EXEC] ILT","[EXEC] ILT","execilt","execilt@Accruent.com"
"Extract Change","Extract Change","ExtractChange","ExtractChange@Accruent.com"
"All About That Bass","All About That Bass","DaBass","DaBass@Accruent.com"
"POD | Siterra Tower Portal","POD | Siterra Tower Portal","towerportalteam","towerportalteam@Accruent.com"
"Healthcare PS","Healthcare PS","healthcareps","healthcareps@Accruent.com"
"reportdeployment","reportdeployment","reportdeployment","reportdeployment@accruent.com"
"Atlas LA Severity","Atlas LA Severity","AtlasLASeverity","AtlasLASeverity@Accruent.com"
"Evoco Dev Team Administrators","Evoco Dev Team Administrators","evocodevadmins","evocodevadmins@Accruent.com"
"Sales & Marketing","Sales & Marketing","salesmarketing","salesmarketing@Accruent.com"
"Software All","Software All","SoftwareAll","SoftwareAll@accruent.com"
"netadminalerts","netadmin","netadminalerts","netadminalerts@Accruent.com"
"AccruentSeverity","AccruentSeverity","accruentseverity","accruentseverity@Accruent.com"
"Sencha Technical Discussion Alias","Sencha Technical Discussion Alias","senchatechdiscussion","senchatechdiscussion@Accruent.com"
"SeverityDistsfdc","SeverityDistsfdc","SeverityDistsfdc","SeverityDistsfdc@Accruent.com"
"PS ES Team","PS ES Team Accruent","psesteam_accruent","psesteam_accruent@Accruent.com"
"Atlas Prod Deploy","Atlas Prod Deploy","atlasproddeploy","atlasproddeploy@Accruent.com"
"Atlas SM Severity","Atlas SM Severity","AtlasSMSeverity","AtlasSMSeverity@Accruent.com"
"Marketing Dept DL","Marketing Dept DL","marketing","marketing@accruent.com"
"Engineering QA Dept","Engineering QA Dept","EngineeringQADept","EngineeringQADept@Accruent.com"
"Scrum Siterra Daily","GROUP|Scrum Siterra Daily","GROUP-ScrumSiterraDaily","GROUP-ScrumSiterraDaily@Accruent.com"
"P2P Nominations","P2P Nominations","P2PNominations","P2PNominations@Accruent.com"
"Siterra PjM","Siterra PjM","SiterraPjM","SiterraPjM@Accruent.com"
"Hosting SFDC","Hosting SFDC","HostingSFDC","HostingSFDC@Accruent.com"
"Atlas PM Severity","Atlas PM Severity","AtlasPMSeverity","AtlasPMSeverity@Accruent.com"
"Software Ontario","Software Ontario","SoftwareOntario","softwareOntario@accruent.com"
"PortalPals","PortalPals","portalpals","portalpals@Accruent.com"
"JIRA Admins","GROUP|JIRA Admins","jiraadmins","jiraadmins@Accruent.com"
"Robo Squad","Robo Squad","robosquad","robosquad@Accruent.com"
"Engineering Dev Dept","Engineering Dev Dept","EngineeringDevDept","EngineeringDevDept@Accruent.com"
"Accruent Newsletter","Accruent Newsletter","AccruentNewsletter","AccruentNewsletter@Accruent.com"
"Retail Engineering Team","Retail Engineering Team","retailengineeringteam","retailengineeringteam@Accruent.com"
"FacXI","FacXI","FacXI","FacXI@Accruent.com"
"Consulting","Software and Consulting Services","Consulting","Consulting@Accruent.com"
"All at Canada","All at Canada","AllatCanada","AllatCanada@Accruent.com"
"PeopleTeamsUse","PeopleTeamsUse","PeopleTeamsUse","PeopleTeamsUse@Accruent.com"
"Competition","Competition","Competition","Competition@accruent.com"
"senchadev","senchadev","senchadev","senchadev@accruent.com"
"[ALL] VFA CA Contractors","All at VFA Canada Contractors","AllatVFACanadaContractors","AllatVFACanadaContractors@Accruent.com"
"TMS Support Team","TMS Support Team","tmssupportteam","tmssupportteam@accruent.com"
"SG TMS Support","SG TMS Support","sgtmssupport","sgtmssupport@accruentatlas.onmicrosoft.com"
"Mainspring Support Team","Mainspring Support Team","support_team","mainspringsupport_team@accruent.com"
"Professional Services - Boston DG","Professional Services - Boston DG","professionalservices-boston","professionalservices-boston@accruent.com"
"Professional Services - Canada","Professional Services - Canada","ProfessionalServicesCanada","ProfessionalServicesCanada@accruent.com"
"Professional Services FTE Canada","Professional Services FTE Canada","ProfessionalServicesFTECanada","ProfessionalServicesFTECanada@accruent.com"
"Purchasing 2.0 Team","Purchasing 2.0 Team","purchasing2.0team","purchasing2.0team@Accruent.com"
"Siterra Dev Review","Siterra Dev Review","SiterraDevReview","SiterraDevReview@Accruent.com"
"VFALinkedIn","VFALinkedIn","VFALinkedIn","vfalinkedin@accruent.com"
"-Grp|PodLeaders","-Grp|PodLeaders","-GrpPodLeaders","-GrpPodLeaders@Accruent.com"
"Siterra Consultants","Siterra Consultants","sconsultants","sconsultants@Accruent.com"
"svn dev","svn dev","svndev","svndev@Accruent.com"
"Atlas BI Severity","Atlas BI Severity","AtlasBISeverity","AtlasBISeverity@Accruent.com"
"Sales and Marketing - Boston","Sales and Marketing - Boston","SalesandMarketing-Boston","SalesandMarketing-Boston@accruent.com"
"Smoothie Club","Smoothie Club","SmoothieClub","SmoothieClub@Accruent.com"
"POD | Siterra Reporting","POD | Siterra Reporting","POD_Siterra_Reporting","POD_Siterra_Reporting@Accruent.com"
"Triage","Triage","Triage1","Triage1@Accruent.com"
"Atlas Release Notifications","Atlas Release Notifications","atlasreleasenotifications","atlasreleasenotifications@Accruent.com"
"Mighty Morphin Wiffle Hitters","Mighty Morphin Wiffle Hitters","wiffleballz","wiffleballz@Accruent.com"
"All at US","All at US","AllatUS","AllatUS@Accruent.com"
"Verizon Siterra Support","Verizon Siterra Support","VerizonSiterraSupport","VerizonSiterraSupport@Accruent.com"
"G&A Dashboard","G&A Dashboard","GAdashboard","GAdashboard@Accruent.com"
"All of G&A","All of G&A","AllofGA","AllofGA@Accruent.com"
"Expesite Code Release Announcements","Expesite Code Release Announcements","expesitecoderelease","expesitecoderelease@Accruent.com"
"HR Benefits","HR Benefits","HRBenefits","HRBenefits@Accruent.com"
"Atlas Platform","Atlas Platform","atlasplatform","atlasplatform@Accruent.com"
"Ontario Office","Ontario Office","OntarioOffice","OntarioOffice@accruent.com"
"SLM Tech","SLM Tech","SLMTech","SLMTech@Accruent.com"
"Accounting Dept","Accounting Dept","AccountingDept","AccountingDept@Accruent.com"
"NPS Update","NPS Update","npsupdate","npsupdate@Accruent.com"
"L&D Management Program","Managers DL","managersdl","managersdl@Accruent.com"
"Sales Dashboards","Sales Dashboards","salesdashboards","salesdashboards@Accruent.com"
"SupportPilot","SupportPilot","SupportPilot","SupportPilot@accruent.com"
"Architectural","Architectural","Architectural","Architectural@accruent.com"
"Professional Services Remote","Professional Services Remote","ProfessionalServicesRemote","ProfessionalServicesRemote@accruent.com"
"Talent Strategy Volunteers","Talent Strategy Volunteers","TalentStrategyVolunteers","TalentStrategyVolunteers@Accruent.com"
"Mechanical-1","Mechanical","Mechanical-1","Mechanical-1@Accruent.com"
"Accruent Basketball League","Accruent Basketball League","abl","abl@Accruent.com"
"Engineering Mgmt","Engineering Mgmt","EngineeringMgmt","EngineeringMgmt@Accruent.com"
"All at Four Rivers","All at Four Rivers","AllatFourRivers","AllatFourRivers@Accruent.com"
"[ALL] Mainspring FTE US","[ALL] Mainspring FTE US","allatmsus","allatmsus@Accruent.com"
"Electrical-1","Electrical","Electrical-1","Electrical-1@Accruent.com"
"Engineering","Engineering","Engineering","Engineering@Accruent.com"
"GROUP|Scrum Masters","GROUP|Scrum Masters","Group-ScrumMasters","Group-ScrumMasters@Accruent.com"
"Accruent Workflow","Accruent Workflow","AccruentWorkflow","AccruentWorkflow@Accruent.com"
"Skytap Users","Skytap Users","SkytapUsers","SkytapUsers@Accruent.com"
"CRE","CRE","CRE","CRE@Accruent.com"
"SPS SG","SPS SG","spssg","spssg@Accruent.com"
"AWB Power Users","AWB Power Users","AWBPowerUsers","AWBPowerUsers@accruent.com"
"AE's and RVP's","AE's and RVP's","AEandRVP","AEandRVP@Accruent.com"
"[ALL] Ring The Bell","[ALL] Ring The Bell","ringthebell","ringthebell@Accruent.com"
"AllatVaughan","AllatVaughan","AllatVaughan","AllatVaughan@accruent.com"
"Professional Services FTE Boston 2","Professional Services FTE Boston 2","ProfessionalServicesFTEBoston2","ProfessionalServicesFTEBoston2@accruent.com"
"All of Sales","All of Sales","AllofSales","AllofSales@Accruent.com"
"P&M Dashboards","P&M Dashboards","PMDashboards","PMDashboards@Accruent.com"
"PS Dashboards","PS Dashboards","PSDashboards","PSDashboards@Accruent.com"
"expesiteseverity","ExpesiteSeverity","expesiteseverity","expesiteseverity@Accruent.com"
"Consultant CoP","Consultant CoP","ConsultantCoP","ConsultantCoP@Accruent.com"
"GDrive","GoogleDrive","GoogleDrive","GoogleDrive@accruent.com"
"Austin Engineering","Austin Engineering","AustinEngineering","AustinEngineering@Accruent.com"
"Professional Services Staff DG","Professional Services Staff DG","Professionalservicesstaff","Professionalservicesstaff@accruent.com"
"VFA3rdFloor","VFA3rdFloor","VFA3rdFloor","VFA3rdFloor@accruent.com"
"Engineering Dashboard","Engineering Dashboard","engdashboard","engdashboard@Accruent.com"
"Test Track Users","Test Track Users","TestTrackUsers","TestTrackUsers@Accruent.com"
"Project Management Community of Practice","Project Management Community of Practice","ProjectManagementCommunityofPractice","ProjectManagementCommunityofPractice@Accruent.com"
"All of PS","All of PS","AllofPS","AllofPS@Accruent.com"
"Atlas PW","Atlas PW","AtlasPW","AtlasPW@Accruent.com"
"All of Engineering","All of Engineering","AllofEngineering","AllofEngineering@Accruent.com"
"Calender","Calender","Calender","Calender@Accruent.com"
"Siterra-ProdDeploy","Siterra-ProdDeploy","Siterra-ProdDeploy","Siterra-ProdDeploy@Accruent.com"
"Atlas FM Severity","Atlas FM Severity","AtlasFMSeverity","AtlasFMSeverity@Accruent.com"
"Leadership","Leadership","leadership","leadership@Accruent.com"
"Support Dashboards","Support Dashboards","supportdashboards","supportdashboards@Accruent.com"
"ATXFitFam","ATXFitFam","ATXFitFam","ATXFitFam@Accruent.com"
"[ALL] Mainspring FTE Remote","[ALL] Mainspring FTE Remote","allatmsremote","allatmsremote@Accruent.com"
"Tech Support Team","Tech Support Team","Techsupportteam","Techsupportteam@Accruent.com"
"Public Sector Industry","Public Sector Industry","PublicSectorIndustry","PublicSectorIndustry@Accruent.com"
"DThompson Forward","DThompson Forward","dthompsonforward","dthompsonforward@Accruent.com"
"POD | 360facility 98DeCREs","POD | 360facility 98DeCREs","POD_360facility_98DeCREs","POD_360facility_98DeCREs@Accruent.com"
"Logic Monitor Admin","Logic Monitor Admin","Logicmonadmin","Logicmonadmin@Accruent.com"
"Healthcare PS Leadership","Healthcare PS Leadership","hcpsleadership","hcpsleadership@Accruent.com"
"Healthcare Consultants","Healthcare Consultants","FourRiversConsultants","FourRiversConsultants@Accruent.com"
"[TCM] Telecom Leadership","[TCM] Telecom Leadership","telecomleadership","telecomleadership@accruentatlas.onmicrosoft.com"
"Mainspring Urgent Dev Request","Urgent Dev Request","Urgent","mainspringurgent@accruent.com"
"Mainspring Demo","Demo","Demo","mainspringdemo@accruent.com"
"Mainspring Support","Mainspring Support","support","mainspringsupport@accruent.com"
"Mainspring Data Team","Data Team","DataTeam","dataTeam@accruent.com"
"Mainspring Dev Support","Dev Support","DevSupport","devsupport@accruent.com"
"Mainspring SCS QA","SCS QA","scsqa","mainspringscqa@accruent.com"
"Mainspring OWA","OWA","owa","mainspringowa@accruent.com"
"Mainspring Services Team","Services Team","services_team","mainspringservices_team@accruent.com"
"[IT] Remote Team","[IT] Remote Team","ITRemoteTeam","ITRemoteTeam@accruent.com"
"[ALL] Mainspring Integration Team","[ALL] Mainspring Integration Team","MainspringIntegrationTeam","MainspringIntegrationTeam@accruent.com"
"[IT] HQ Team","[IT] HQ Team","ITHQTeam","ITHQTeam@accruent.com"
"POD | Expesite ? Hypnopod","POD | Expesite ? Hypnopod","POD_Expesite_Hypnopod","POD_Expesite_Hypnopod@Accruent.com"
"POD | Expesite - Iguana","POD | Expesite - Iguana","POD_Expesite_Iguana","POD_Expesite_Iguana@Accruent.com"
"Senior Support Management","Senior Support Management","SrSupportMgmt","SrSupportMgmt@Accruent.com"
"[ALL] Mainspring FTE Boston","[ALL] Mainspring FTE Boston","allatmsboston","allatmsboston@Accruent.com"
"SiteFM Shared Support","SiteFM Shared Support","sitefmsharedsupport","sitefmsharedsupport@accruent.com"
"[ALL] Mainspring FTE India","[ALL] Mainspring FTE India","allmsindia","allmsindia@Accruent.com"
"Retail QA","Retail QA","retailqa","retailqa2@Accruent.com"
"Retail Products","Retail Products","retailproducts","retailproducts@Accruent.com"
"POD | Expesite - GAP","POD | Expesite - GAP","PODExpesiteGAP","PODExpesiteGAP@Accruent.com"
"TestDL","TestDL","TestDLSDC","TestDLSDC@accruent.com"
"Release Engineering","Release Engineering","ReleaseEngineering","ReleaseEngineering@Accruent.com"
"CRE-All","CRE-All","creall","creall@Accruent.com"
"Design Requests","[PM] Design Requests","designrequests","designrequests@Accruent.com"
"[ACP] VFA Pricing","[ACP] VFA Pricing","VFAPricing","VFAPricing@accruent.com"
"360PdM","360PdM","360PdM","360PdM@accruent.com"
"Accruent Game Consoles","Accruent Boston Game Consoles","Accconbos","Accconbos@accruent.com"
"All Telecom","All Telecom","alltelecom","alltelecom@Accruent.com"
"[QA] Auditor Reporting","[QA] Auditor Reporting","auditorreporting","auditorreporting@accruent.com"
"[QA] Innovate","[QA] Innovate","innov8","innov8@accruentatlas.onmicrosoft.com"
"Project Helios","Project Helios","projecthelios","projecthelios@Accruent.com"
"[PS] 4Sight","[PS] 4Sight","JLL4Sight","JLL4Sight@accruentatlas.onmicrosoft.com"
"[ALL] Engineering Contractors","[ALL] Engineering Contractors","all_EngineeringConctractors","all_EngineeringConctractors@Accruent.com"
"[ENG] Expesite Products and Engineering","[ENG] Expesite Products and Engineering","expesiteproductsandengineering","expesiteproductsandengineering@accruentatlas.onmicrosoft.com"
"[HOS] Rackspace Alerts","[HOS] Rackspace Alerts","rackspacealerts","rackspacealerts@Accruent.com"
